scenario,seed,vehicle_id,duration_s,time_loss_s,waiting_time_s,depart_delay_s,route_length_m,co2_mg,nox_mg,fuel_mg
baseline,5,north_to_south_12.61,107.0,34.64,24.0,0.37,994.9,259134.984005,101.257154,82653.98872
baseline,5,south_to_north_13.37,89.0,17.29,6.0,0.12,994.9,223716.606568,85.09994,71356.123994
baseline,5,south_to_north_13.34,106.0,29.32,19.0,0.0,994.9,252294.631399,97.600657,80472.065196
baseline,5,north_to_south_12.64,99.0,27.16,18.0,0.63,994.9,243349.567074,95.213144,77618.598382
baseline,5,south_to_north_13.36,96.0,24.2,11.0,0.42,994.9,237008.696577,92.196035,75595.925711
baseline,5,north_to_south_12.59,118.0,41.86,29.0,0.19,994.9,285330.369361,113.33444,91009.450579
baseline,5,south_to_north_13.40,78.0,6.22,0.0,0.24,994.9,179020.348972,64.440171,57099.573368
baseline,5,south_to_north_13.39,84.0,5.11,0.0,0.53,994.9,180611.329622,63.51104,57607.330264
baseline,5,south_to_north_13.38,91.0,8.3,0.0,0.83,994.9,183777.920897,66.978526,58617.412945
baseline,5,north_to_south_12.67,102.0,27.99,11.0,0.9,994.9,237660.810627,91.865368,75804.133297
baseline,5,north_to_south_12.63,115.0,22.81,12.0,0.54,994.9,249293.253189,97.477881,79514.619454
baseline,5,north_to_south_12.68,101.0,28.89,10.0,0.98,994.9,243207.96779,95.001062,77573.23852
baseline,5,north_to_south_12.69,101.0,28.64,9.0,0.07,994.9,246814.414166,96.096905,78723.503578
baseline,5,south_to_north_13.42,79.0,3.8,0.0,0.65,994.9,173947.792399,61.172164,55481.796189
baseline,5,north_to_south_12.52,151.0,42.17,30.0,0.58,994.9,316276.9643,126.249396,100881.246918
baseline,5,north_to_south_12.73,90.0,18.38,0.0,0.42,994.9,233276.866495,91.536516,74404.87771
baseline,5,south_to_north_13.43,76.0,3.66,0.0,0.36,994.9,180030.632173,65.242094,57421.714537
baseline,5,north_to_south_12.62,124.0,47.85,21.0,0.46,994.9,283666.881054,114.280012,90478.742282
baseline,5,north_to_south_12.74,89.0,17.12,0.0,0.51,994.9,250411.399307,98.279639,79869.875665
baseline,5,north_to_south_12.65,117.0,43.09,14.0,0.72,994.9,266728.175469,105.636616,85075.650048
baseline,5,north_to_south_12.76,85.0,10.47,0.0,0.69,994.9,220338.350172,85.854452,70277.85611
baseline,5,north_to_south_12.66,116.0,29.56,8.0,0.81,994.9,246787.455286,96.501962,78715.265639
baseline,5,north_to_south_12.78,81.0,9.02,0.0,0.86,994.9,204214.257459,76.331183,65135.157602
baseline,5,north_to_south_12.70,107.0,34.41,7.0,0.16,994.9,251105.84729,100.07936,80092.124683
baseline,5,north_to_south_12.79,80.0,7.77,0.0,0.95,994.9,179834.641425,67.287349,57359.13105
baseline,5,north_to_south_12.71,105.0,33.14,5.0,0.25,994.9,248209.117444,97.503528,79168.293678
baseline,5,south_to_north_13.41,95.0,5.83,0.0,0.95,994.9,191740.670132,70.316827,61157.238136
baseline,5,north_to_south_12.80,80.0,6.74,0.0,0.04,994.9,182929.656652,66.517213,58346.45175
baseline,5,north_to_south_12.72,104.0,31.89,4.0,0.34,994.9,248233.553897,98.132495,79175.938517
baseline,5,north_to_south_12.77,90.0,10.76,0.0,0.78,994.9,201532.479715,74.216223,64280.206231
